type,offset,expect,write
string,0x015CB3,"Dragons","Драконы"
# dwelling screen - terrain header
string,0x01A33C,"Hill","Холм"
string,0x01A357,"----","----"
reloc,0x0186CD,"Plains","Равнина"
reloc,0x0186D5,"------","-------"
string,0x01A348,"Forest","Лес"
string,0x01A363,"------","---"
reloc,0x0186D1,"Dungeon","Подземелье"
reloc,0x0186D9,"-------","----------"
# dwelling screen - recruit dialogue
string,0x0160D8," are available"," ждут найма"
string,0x0160E7,"Cost= ","Цена: "
reloc,0x00AD69," each."," каждый"
string,0x0160F5,"You may recruit up to ","Можно нанять до "
string,0x01610C,"Recruit how many ","Сколько нанять?  "
# dwelling screen - refusal
string,0x01A66B,"You already have the maximum","   У вас уже максимальное"
string,0x01A688,"number of armies!","  число отрядов!"
# gold readout
reloc,0x005E82,"GP=","Зол:"
# character screen
string,0x01A824,"Leadership","Лидерство"
reloc,0x018912,"Commission/Week","Жалованье в неделю"
reloc,0x018914,"Gold","Золото"
string,0x01A844,"Spell power","Сила магии"
reloc,0x018918,"Max # of spells","Максимум заклинаний"
string,0x01A860,"Villains caught","Злодеев поймано"
reloc,0x01891C,"Artifacts found","Артефактов найдено"
string,0x01A880,"Castles garrisoned","Замков занято"
string,0x01A893,"Followers killed","Воинов потеряно"
string,0x01A8A4,"Current score","Текущий счет"
# king's castle - main
string,0x01A6BE,"Recruit Soldiers","Нанять войска"
string,0x01A3C5,"n/a","нет"
string,0x01A6CF,"B) Audience with the King","B) Аудиенция у короля"
string,0x01A6E9,"You don't have enough gold!","Недостаточно золота!"
string,0x016047,"Castle ","Замок "
string,0x019A78,"of King Maximus","Максимуса"
# king's castle - audience intro
string,0x01A05D,"Trumpets announce your","Трубы возвещают о"
string,0x01A074,"arrival with regal fanfare.","вашем прибытии с почестями."
string,0x01A091,"King Maximus rises from his","Король Максимус поднимается"
string,0x01A0AD,"throne to greet you and","с трона вам навстречу"
string,0x01A0C5,"proclaims:           (space)","и провозглашает:    (пробел)"
# king's castle - audience, not enough villains
# Line 3 is assembled in code as [text][N][" more"][line 4 "villain"][optional "s"]["."],
# which cannot agree with a Russian numeral. Reworded to put the noun before N
# ("вы поймаете ещё злодеев: 3."), then " more" is blanked and two code bytes drop the
# now-redundant 4th line and the plural "s" (loop bound 4->3; JNG->JMP). N reaches 14,
# so the line 3 prefix must stay <= 25 chars to fit the ~28-char box.
reloc,0x0185BB,"My dear ","Приветствую, "
string,0x01A0EB,"I can aid you better after","Я смогу помочь вам, когда"
reloc,0x0185BF,"you've captured ","вы поймаете ещё злодеев: "
string,0x016041," more",""
bytes,0x00A630,"04","03"
bytes,0x00A636,"7E","EB"
# king's castle - audience, promotion
string,0x01A11F,"Congratulations ","Поздравляю, "
string,0x01A130,"I now promote you to ","Отныне ваше звание - "
# king's castle - audience, already at top rank
string,0x01A146,"Hurry and recover my Scepter","Поспешите вернуть Скипетр"
string,0x01A163,"of Order or all will be","Порядка, или всё будет"
reloc,0x0185CB,"lost!","потеряно!"
# menu bar - header
string,0x0157A5,"Options / Controls / ","О: Меню / Система  / "
string,0x01579B," Options "," О: Меню "
string,0x015790," Controls "," Система  "
string,0x0157C5,"Days Left","Ост. дней"
string,0x0157BB,"Time Stop","Заморозка"
# menu bar - controls. "Да"/"Нет" are overprinted at hardcoded columns 12 and 15
string,0x01A9DF,"1 Delay 0123456789","1 Пауза 0123456789"
string,0x01A9F2,"2 Sounds    On/Off","2 Звуки     Да/Нет"
string,0x01AA05,"3 Walk Beep On/Off","3 Шаги      Да/Нет"
string,0x01AA18,"4 Animation On/Off","4 Анимация  Да/Нет"
string,0x01AA2B,"5 Army Size On/Off","5 Стеки     Да/Нет"
string,0x01AA51,"Off","Нет"
string,0x01AA55,"On","Да"
# menu bar - options
string,0x01AA58,"  \x19  or 2 Move Down","  \x19  2  Вниз"
string,0x01AA6C,"  \x1A  or 4 Move Left","  \x1A  4  Влево"
string,0x01AA80,"  \x1B  or 6 Move Right","  \x1B  6  Вправо"
string,0x01AA95,"  \x18  or 8 Move Up","  \x18  8  Вверх"
string,0x01AAA7,"END  or 1 Down Left","END  1  Вниз-влево"
string,0x01AABB,"PGDN or 3 Down Right","PGDN 3  Вниз-вправо"
reloc,0x018BA5,"HOME or 7 Up Left","HOME 7  Вверх-влево"
reloc,0x018BA7,"PGUP or 9 Up Right","PGUP 9  Вверх-вправо"
string,0x01AAF5,"  A View Army","  A Армия"
string,0x01AB03,"  C Controls","  C Система"
string,0x01AB22,"  I Contract Info","  I Контракт"
string,0x01AB34,"  M Auto-mapping","  M Карта"
string,0x01AB45,"  P Puzzle Solve","  P Головоломка"
string,0x01AB56,"  S Search Area","  S Копать"
string,0x01AB66,"  U Use Magic","  U Магия"
string,0x01AB74,"  V View Character","  V Герой"
string,0x01AB87,"  W Wait End Week","  W Ждать неделю"
reloc,0x018BBD,"  Q Quit and Save","  Q Запись и выход"
string,0x01AC03,"  L Land         ","  L Посадка      "
string,0x01AC15,"  F Fly          ","  F Полет        "
# contract screen. 17 records, each a 14-entry pointer table (villain 1 at 0x016A2E,
# stride 28), so every line is reloc-able and the labels repeat once per record.
# Width: 27 chars for lines 1-5 (name, alias, reward, last seen, castle), 34 for lines
# 6-14 (the features header and the description); 35 clips.
# Descriptions are reloc by default; all 17 (3665 B of English) will need POOL_SIZE
# raised in apply_patches.py, where the measured cold band is 17.8 KB.
# ---- villain 1, Murray the Miser ----
string,0x016D19,"Name: Murray the Miser","Имя: Мюррей Скряга"
string,0x016D30,"Alias: None","Кличка: нет"
string,0x016D3C,"Reward: 5,000 gold","Награда: 5000 зол."
string,0x016D4F,"Last Seen:","Континент:"
string,0x016D5A,"Castle:"," Замок:"
string,0x016D62,"Distinguishing Features:","Особые приметы:"
reloc,0x016A3A,"  Threadbare clothes, bald","  Потрёпанная одежда, лысина,"
reloc,0x016A3C,"  patch with hair combed to","  прикрытая зачёсом, а также"
reloc,0x016A3E,"  cover it, incessant cough.","  непрекращающийся кашель."
reloc,0x016A40,"Crimes: Murray is wanted for","Преступления: мелкие кражи и"
reloc,0x016A42,"  various petty crimes as well","  измена. Мюррей впустил в"
reloc,0x016A44,"  as for treason. He allowed a","  замок шайку пиратов, и те"
reloc,0x016A46,"  group of pirates to enter the","  выпустили на волю всех"
reloc,0x016A48,"  castle and free criminals.","  преступников."
# ---- villain 2, Hack the Rogue ----
string,0x016E67,"Name: Hack the Rogue","Имя: Хак Прохвост"
string,0x016E7C,"Alias: The Spitter","Кличка: Плевака"
string,0x016E8F,"Reward: 6,000 gold","Награда: 6000 зол."
string,0x016EA2,"Last Seen:","Континент:"
string,0x016EAD,"Castle:"," Замок:"
string,0x016EB5,"Distinguishing Features:","Особые приметы:"
reloc,0x016A56,"  Bushy ebon beard stained","  Густая чёрная борода в бурых"
reloc,0x016A58,"  with tobacco juice, numerous","  потёках жевательного табака,"
reloc,0x016A5A,"  battle scars, brash, arrogant","  множество боевых шрамов,"
reloc,0x016A5C,"  behavior.","  наглые и заносчивые манеры."
reloc,0x016A5E,"Crimes: Along with many minor","Преступления: помимо мелких"
reloc,0x016A60,"  infractions, Hack is wanted","  нарушений, Хак разыскивается"
reloc,0x016A62,"  for conspiracy against the","  за заговор против Короны и"
reloc,0x016A64,"  Crown and grave-robbing.","  разграбление могил."
# ---- villain 3, Princess Aimola ----
string,0x016FA8,"Name: Princess Aimola","Имя: Принцесса Аймола"
string,0x016FBE,"Alias: Lady Deceit","Кличка: Леди Обман"
string,0x016FD1,"Reward: 7,000 gold","Награда: 7000 зол."
string,0x016FE4,"Last Seen:","Континент:"
string,0x016FEF,"Castle:"," Замок:"
string,0x016FF7,"Distinguishing Features:","Особые приметы:"
reloc,0x016A72,"  Excessive use of make-up","  Обилие косметики, скрывающей"
reloc,0x016A74,"  to hide aging features, ever-","  следы возраста, неизменный"
reloc,0x016A76,"  present lace handkerchief.","  кружевной платок."
reloc,0x016A78,"Crimes: The Princess violated","Преступления: принцесса нарушила"
reloc,0x016A7A,"  her status as a visiting","  статус почётной гостьи путём"
reloc,0x016A7C,"  dignitary by encouraging a","  подстрекательства к убийству"
reloc,0x016A7E,"  murder and joining the","  и участия в заговоре против"
reloc,0x016A80,"  conspiracy against the Crown.","  Короны."
# ---- villain 4, Baron Johnno Makahl ----
string,0x0170F7,"Name: Baron Johnno Makahl","Имя: Барон Джонно Макал"
reloc,0x016A84,"Alias: Johnno","Кличка: Джонно"
string,0x01711F,"Reward: 8,000 gold","Награда: 8000 зол."
string,0x017132,"Last Seen:","Континент:"
string,0x01713D,"Castle:"," Замок:"
string,0x017145,"Distinguishing Features:","Особые приметы:"
reloc,0x016A8E,"  Expensive and gaudy","  Дорогая и безвкусная одежда,"
reloc,0x016A90,"  clothes, overweight, and","  тучное сложение, неопрятная"
reloc,0x016A92,"  a scruffy beard.","  борода."
reloc,0x016A94,"Crimes: Johnno is wanted for","Преступления: Джонно виновен"
reloc,0x016A96,"  various crimes against the","  во многих злодеяниях против"
reloc,0x016A98,"  Kingdom, including leading a","  Королевства. Он возглавил"
reloc,0x016A9A,"  direct assualt against the","  открытое нападение на Корону"
reloc,0x016A9C,"  Crown and conspiracy.","  и участвовал в заговоре."
# ---- villain 5, Dread Pirate Rob ----
string,0x017230,"Name: Dread Pirate Rob","Имя: Ужасный Пират Роб"
string,0x017247,"Alias: Terror of the Sea","Кличка: Гроза морей"
string,0x017260,"Reward: 9,000 gold","Награда: 9000 зол."
string,0x017273,"Last Seen:","Континент:"
string,0x01727E,"Castle:"," Замок:"
string,0x017286,"Distinguishing Features:","Особые приметы:"
reloc,0x016AAA,"  Pencil thin moustache","  Тонкие усики и щёгольски"
reloc,0x016AAC,"  and elegantly trimmed beard,","  подстриженная борода. Никогда"
reloc,0x016AAE,"  never without a rapier.","  не расстаётся со своей рапирой."
reloc,0x016AB0,"Crimes: Rob is wanted for piracy","Преступления: пиратство,"
reloc,0x016AB2,"  as well a conspiracy and for","  заговор и освобождение пяти"
reloc,0x016AB4,"  breaking out five traitors","  изменников, приговорённых к"
reloc,0x016AB6,"  sentenced to death in the","  смерти в королевских"
reloc,0x016AB8,"  Royal Dungeons.","  подземельях."
